human,machine
january 13 2010,2010-01-13
11 december 2008,2008-12-11
4 may 2011,2011-05-04
january 18 2011,2011-01-18
may 15 2014,2014-05-15
saturday november 10 1973,1973-11-10
saturday march 7 2015,2015-03-07
wednesday april 23 2003,2003-04-23
sunday may 30 1976,1976-05-30
12 april 1999,1999-04-12
sunday september 20 1998,1998-09-20
wednesday november 16 2005,2005-11-16
wednesday april 28 1976,1976-04-28
wednesday october 10 1990,1990-10-10
saturday september 12 1992,1992-09-12
6 aug 1984,1984-08-06
11 september 2015,2015-09-11
august 16 2014,2014-08-16
march 20 1997,1997-03-20
wednesday february 11 2015,2015-02-11
tuesday march 17 1992,1992-03-17
thursday october 19 1978,1978-10-19
monday april 30 1979,1979-04-30
sep 26 2006,2006-09-26
thursday may 5 2011,2011-05-05
friday may 31 1974,1974-05-31
tuesday november 24 1987,1987-11-24
08 jun 2008,2008-06-08
wednesday july 25 1979,1979-07-25
may 14 1999,1999-05-14
5/6/05,2005-05-06
sunday june 17 1973,1973-06-17
monday june 6 2016,2016-06-06
15 dec 2006,2006-12-15
friday november 12 1999,1999-11-12
3/21/05,2005-03-21
friday june 3 1977,1977-06-03
wednesday april 25 2007,2007-04-25
thursday july 26 1979,1979-07-26
aug 21 2012,2012-08-21
wednesday august 18 1971,1971-08-18
december 27 1990,1990-12-27
thursday november 21 1985,1985-11-21
jul 19 2015,2015-07-19
5 june 1984,1984-06-05
june 6 2013,2013-06-06
12 01 11,2011-01-12
2 jan 1983,1983-01-02
monday february 24 1986,1986-02-24
sunday october 13 1985,1985-10-13
28 december 1978,1978-12-28
friday december 14 1979,1979-12-14
sunday june 21 2009,2009-06-21
monday june 22 1998,1998-06-22
december 22 2011,2011-12-22
11/28/18,2018-11-28
sunday june 20 1993,1993-06-20
tuesday september 26 1978,1978-09-26
wednesday august 22 2001,2001-08-22
8/7/89,1989-08-07
04 jul 1991,1991-07-04
17 jan 2019,2019-01-17
wednesday february 27 1985,1985-02-27
20 dec 1996,1996-12-20
wednesday january 19 1972,1972-01-19
29 jun 1994,1994-06-29
10 may 2003,2003-05-10
saturday june 9 2007,2007-06-09
16 may 1994,1994-05-16
21 august 2018,2018-08-21
saturday june 22 2002,2002-06-22
05 may 2010,2010-05-05
25 june 2016,2016-06-25
august 18 1982,1982-08-18
20 oct 2018,2018-10-20
sunday july 5 1981,1981-07-05
4/23/78,1978-04-23
5 july 2012,2012-07-05
tuesday june 22 2004,2004-06-22
30 06 11,2011-06-30
29.09.85,1985-09-29
